slide_id,sample_id,region_id,scanner_id,path,fold,source_filename,category_name,adaptive_crop_side_level0,orientation_normalization_degrees,split
scc_01,scc_01,scc_01__region_0002,cs2,cs2/scc_01__region_0002__cs2__ad44284b82.jpg,3,scc_01_cs2.tif,Epidermis,544,0.0,train
scc_01,scc_01,scc_01__region_0002,gt450,gt450/scc_01__region_0002__gt450__8890dfd607.jpg,3,scc_01_gt450.tif,Epidermis,544,0.0,train
scc_01,scc_01,scc_01__region_0002,nz20,nz20/scc_01__region_0002__nz20__7ba5daa4ec.jpg,3,scc_01_nz20.tif,Epidermis,544,0.0,train
scc_01,scc_01,scc_01__region_0002,nz210,nz210/scc_01__region_0002__nz210__65afc81c11.jpg,3,scc_01_nz210.tif,Epidermis,544,0.0,train
scc_01,scc_01,scc_01__region_0002,p1000,p1000/scc_01__region_0002__p1000__1871e92c51.jpg,3,scc_01_p1000.tif,Epidermis,544,89.8604415332991,train
scc_01,scc_01,scc_01__region_0007,cs2,cs2/scc_01__region_0007__cs2__af123fe3ee.jpg,3,scc_01_cs2.tif,Inflamm/Necrosis,912,0.0,train
scc_01,scc_01,scc_01__region_0007,gt450,gt450/scc_01__region_0007__gt450__02e18b12a7.jpg,3,scc_01_gt450.tif,Inflamm/Necrosis,912,0.0,train
scc_01,scc_01,scc_01__region_0007,nz20,nz20/scc_01__region_0007__nz20__2acc2521d5.jpg,3,scc_01_nz20.tif,Inflamm/Necrosis,912,0.0,train
scc_01,scc_01,scc_01__region_0007,nz210,nz210/scc_01__region_0007__nz210__7fbd9f8139.jpg,3,scc_01_nz210.tif,Inflamm/Necrosis,912,0.0,train
scc_01,scc_01,scc_01__region_0007,p1000,p1000/scc_01__region_0007__p1000__94264ce58a.jpg,3,scc_01_p1000.tif,Inflamm/Necrosis,912,89.8604415332991,train
scc_01,scc_01,scc_01__region_0008,cs2,cs2/scc_01__region_0008__cs2__89d7111b30.jpg,3,scc_01_cs2.tif,Epidermis,2352,0.0,train
scc_01,scc_01,scc_01__region_0008,gt450,gt450/scc_01__region_0008__gt450__9bcaddb3d8.jpg,3,scc_01_gt450.tif,Epidermis,2352,0.0,train
scc_01,scc_01,scc_01__region_0008,nz20,nz20/scc_01__region_0008__nz20__2a693550e7.jpg,3,scc_01_nz20.tif,Epidermis,2352,0.0,train
scc_01,scc_01,scc_01__region_0008,nz210,nz210/scc_01__region_0008__nz210__6a8f4e1b9b.jpg,3,scc_01_nz210.tif,Epidermis,2352,0.0,train
scc_01,scc_01,scc_01__region_0008,p1000,p1000/scc_01__region_0008__p1000__3de1e0dee6.jpg,3,scc_01_p1000.tif,Epidermis,2352,89.8604415332991,train
scc_01,scc_01,scc_01__region_0009,cs2,cs2/scc_01__region_0009__cs2__92967d5a96.jpg,3,scc_01_cs2.tif,SCC,1440,0.0,train
scc_01,scc_01,scc_01__region_0009,gt450,gt450/scc_01__region_0009__gt450__139cc95edf.jpg,3,scc_01_gt450.tif,SCC,1440,0.0,train
